species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
luzonensis,m,1.716003344,1.348304863,1.033423755,0.812913357,0.740362689,0.851258349,0.748188027,1.227886705,1.079181246,1.463892989,1.514547753,1.230448921,1.409933123,1.235528447,0.322219295,0.462397998
luzonensis,m,1.705007959,1.311753861,0.968482949,0.799340549,0.748188027,0.826074803,0.69019608,1.201397124,1.071882007,1.445604203,1.480006943,1.222716471,1.411619706,1.184691431,0.278753601,0.477121255
luzonensis,m,1.746634199,1.350248018,1.025305865,0.84509804,0.740362689,0.838849091,0.755874856,1.255272505,1.1430148,1.487138375,1.531478917,1.26245109,1.477121255,1.227886705,0.397940009,0.531478917
luzonensis,m,1.770852012,1.382017043,1.053078443,0.851258349,0.748188027,0.84509804,0.77815125,1.278753601,1.158362492,1.522444234,1.559906625,1.281033367,1.519827994,1.28780173,0.301029996,0.462397998
luzonensis,m,1.739572344,1.372912003,1.033423755,0.84509804,0.77815125,0.857332496,0.763427994,1.255272505,1.120573931,1.481442629,1.539076099,1.257678575,1.450249108,1.252853031,0.322219295,0.531478917
luzonensis,m,1.733999287,1.378397901,1.045322979,0.857332496,0.832508913,0.897627091,0.806179974,1.255272505,1.152288344,1.5132176,1.552668216,1.292256071,1.489958479,1.267171728,0.278753601,0.477121255
luzonensis,m,1.761927838,1.374748346,1.053078443,0.903089987,0.792391689,0.832508913,0.785329835,1.267171728,1.173186268,1.514547753,1.556302501,1.274157849,1.506505032,1.28780173,0.342422681,0.477121255
luzonensis,m,1.706717782,1.334453751,1.008600172,0.785329835,0.716003344,0.832508913,0.748188027,1.222716471,1.075546961,1.46686762,1.496929648,1.243038049,1.42975228,1.214843848,0.278753601,0.447158031
luzonensis,m,1.728353782,1.357934847,1.045322979,0.812913357,0.763427994,0.812913357,0.740362689,1.247973266,1.120573931,1.491361694,1.550228353,1.267171728,1.495544338,1.238046103,0.342422681,0.447158031
luzonensis,m,1.803457116,1.392696953,1.068185862,0.84509804,0.770852012,0.880813592,0.785329835,1.269512944,1.187520721,1.539076099,1.588831726,1.307496038,1.530199698,1.281033367,0.380211242,0.491361694
luzonensis,m,1.770852012,1.382017043,1.064457989,0.806179974,0.770852012,0.838849091,0.748188027,1.252853031,1.176091259,1.507855872,1.555094449,1.292256071,1.489958479,1.269512944,0.230448921,0.397940009
luzonensis,m,1.584331224,1.369215857,1.053078443,0.86923172,0.763427994,0.86923172,0.785329835,1.257678575,1.173186268,1.519827994,1.547774705,1.28780173,1.5132176,1.28780173,0.342422681,0.477121255
luzonensis,m,1.782472624,1.380211242,1.041392685,0.86923172,0.806179974,0.84509804,0.748188027,1.26245109,1.193124598,1.522444234,1.561101384,1.294466226,1.507855872,1.28780173,0.380211242,0.51851394
luzonensis,m,1.772321707,1.399673721,1.064457989,0.86923172,0.792391689,0.857332496,0.812913357,1.267171728,1.155336037,1.514547753,1.546542663,1.257678575,1.505149978,1.252853031,0.301029996,0.477121255
luzonensis,m,1.785329835,1.389166084,1.056904851,0.875061263,0.785329835,0.86923172,0.792391689,1.257678575,1.149219113,1.527629901,1.567026366,1.274157849,1.489958479,1.250420002,0.380211242,0.491361694
luzonensis,m,1.790285164,1.383815366,1.049218023,0.86923172,0.770852012,0.919078092,0.770852012,1.269512944,1.149219113,1.509202522,1.542825427,1.274157849,1.477121255,1.260071388,0.380211242,0.544068044
luzonensis,m,1.748962861,1.376576957,1.06069784,0.86923172,0.77815125,0.886490725,0.792391689,1.26245109,1.146128036,1.509202522,1.556302501,1.274157849,1.478566496,1.250420002,0.342422681,0.477121255
luzonensis,m,1.741151599,1.334453751,1.021189299,0.819543936,0.755874856,0.84509804,0.763427994,1.206825876,1.133538908,1.469822016,1.517195898,1.238046103,1.451786436,1.225309282,0.176091259,0.414973348
luzonensis,m,1.739572344,1.367355921,1.033423755,0.857332496,0.748188027,0.832508913,0.740362689,1.227886705,1.123851641,1.474216264,1.522444234,1.26245109,1.456366033,1.23299611,0.322219295,0.531478917
luzonensis,m,1.804820679,1.399673721,1.068185862,0.892094603,0.770852012,0.913813852,0.755874856,1.292256071,1.178976947,1.547774705,1.599883072,1.350248018,1.544068044,1.294466226,0.397940009,0.568201724
